Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
102.0,1.0,0.0,337396.3500000007,1.0,1.0,0.
103.0,1.0,0.0,260427.35000000068,1.0,1.0,0.
104.0,1.0,0.0,289047.3500000007,1.0,1.0,0.
105.0,1.0,0.0,278639.3500000007,1.0,1.0,0.
106.0,1.0,0.0,357277.3500000007,1.0,1.0,0.
107.0,1.0,0.0,257438.35000000068,1.0,1.0,0.
108.0,1.0,0.0,187455.64999999932,1.0,1.0,0.
109.0,1.0,0.0,310936.3500000007,1.0,1.0,0.
110.0,1.0,0.0,313194.3500000007,1.0,1.0,0.
111.0,1.0,0.0,513089.3500000007,1.0,1.0,0.
112.0,1.0,0.0,296074.3500000007,1.0,1.0,0.
113.0,1.0,0.0,312003.3500000007,1.0,1.0,0.
114.0,1.0,0.0,299999.3500000007,1.0,1.0,0.
115.0,1.0,0.0,393988.3500000007,1.0,1.0,0.
116.0,1.0,0.0,247596.35000000068,1.0,1.0,0.
117.0,1.0,0.0,259091.35000000068,1.0,1.0,0.
118.0,1.0,0.0,209583.64999999932,1.0,1.0,0.
119.0,1.0,0.0,405503.3500000007,1.0,1.0,0.
120.0,1.0,0.0,285402.3500000007,1.0,1.0,0.
121.0,1.0,0.0,239148.35000000068,1.0,1.0,0.
122.0,1.0,0.0,244761.35000000068,1.0,1.0,0.
123.0,1.0,0.0,228909.35000000068,1.0,1.0,0.
124.0,1.0,0.0,195873.35000000068,1.0,1.0,0.
125.0,1.0,0.0,190204.64999999932,1.0,1.0,0.
126.0,1.0,0.0,179243.64999999932,1.0,1.0,0.
127.0,1.0,0.0,273380.3500000007,1.0,1.0,0.
128.0,1.0,0.0,194353.64999999932,1.0,1.0,0.
129.0,1.0,0.0,420540.3500000007,1.0,1.0,0.
130.0,1.0,0.0,181699.35000000068,1.0,1.0,0.
131.0,1.0,0.0,253436.35000000068,1.0,1.0,0.
132.0,1.0,0.0,202646.64999999932,1.0,1.0,0.
133.0,1.0,0.0,294466.3500000007,1.0,1.0,0.
134.0,1.0,0.0,329894.3500000007,1.0,1.0,0.
135.0,1.0,0.0,227647.35000000068,1.0,1.0,0.
136.0,1.0,0.0,624442.3500000007,1.0,1.0,0.
137.0,1.0,0.0,340032.3500000007,1.0,1.0,0.
138.0,1.0,0.0,332991.3500000007,1.0,1.0,0.
139.0,1.0,0.0,261814.35000000068,1.0,1.0,0.
140.0,1.0,0.0,213544.35000000068,1.0,1.0,0.
141.0,1.0,0.0,246830.35000000068,1.0,1.0,0.
142.0,1.0,0.0,192051.64999999932,1.0,1.0,0.
143.0,1.0,0.0,384401.3500000007,1.0,1.0,0.
144.0,1.0,0.0,211347.35000000068,1.0,1.0,0.
145.0,1.0,0.0,462956.3500000007,1.0,1.0,0.
146.0,1.0,0.0,213001.35000000068,1.0,1.0,0.
147.0,1.0,0.0,269921.3500000007,1.0,1.0,0.
148.0,1.0,0.0,215277.64999999932,1.0,1.0,0.
149.0,1.0,0.0,228676.35000000068,1.0,1.0,0.
150.0,1.0,0.0,338291.3500000007,1.0,1.0,0.
151.0,1.0,0.0,226783.35000000068,1.0,1.0,0.
152.0,1.0,0.0,254468.35000000068,1.0,1.0,0.
153.0,1.0,0.0,391330.3500000007,1.0,1.0,0.
154.0,1.0,0.0,262355.3500000007,1.0,1.0,0.
155.0,1.0,0.0,200532.64999999932,1.0,1.0,0.
156.0,1.0,0.0,396055.3500000007,1.0,1.0,0.
157.0,1.0,0.0,316351.3500000007,1.0,1.0,0.
158.0,1.0,0.0,239336.35000000068,1.0,1.0,0.
159.0,1.0,0.0,239217.35000000068,1.0,1.0,0.
160.0,1.0,0.0,198983.35000000068,1.0,1.0,0.
161.0,1.0,0.0,241953.35000000068,1.0,1.0,0.
162.0,1.0,0.0,230999.35000000068,1.0,1.0,0.
163.0,1.0,0.0,255401.35000000068,1.0,1.0,0.
164.0,1.0,0.0,205730.35000000068,1.0,1.0,0.
165.0,1.0,0.0,245038.35000000068,1.0,1.0,0.
166.0,1.0,0.0,274071.3500000007,1.0,1.0,0.
167.0,1.0,0.0,257342.35000000068,1.0,1.0,0.
168.0,1.0,1.0,238113.35000000068,1.0,1.0,0.
169.0,1.0,0.0,354708.3500000007,1.0,1.0,0.
170.0,1.0,0.0,282743.3500000007,1.0,1.0,0.
171.0,1.0,0.0,305016.3500000007,1.0,1.0,0.
172.0,1.0,0.0,172663.35000000068,1.0,1.0,0.
173.0,1.0,0.0,219895.35000000068,1.0,1.0,0.
174.0,1.0,0.0,155381.64999999932,1.0,1.0,0.
175.0,1.0,0.0,189056.64999999932,1.0,1.0,0.
176.0,1.0,0.0,210381.64999999932,1.0,1.0,0.
177.0,1.0,0.0,271268.6499999993,1.0,1.0,0.
178.0,1.0,0.0,294267.6499999993,1.0,1.0,0.
179.0,1.0,0.0,310288.6499999993,1.0,1.0,0.
180.0,1.0,0.0,283316.6499999993,1.0,1.0,0.
181.0,1.0,0.0,260254.64999999932,1.0,1.0,0.
