Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
102.0,0.0,1.0,376140.3500000007,0.0,0.0,1.
103.0,0.0,1.0,372651.3500000007,0.0,0.0,1.
104.0,0.0,1.0,348941.3500000007,0.0,0.0,1.
105.0,0.0,1.0,353859.3500000007,0.0,0.0,1.
106.0,0.0,1.0,327938.3500000007,0.0,0.0,1.
107.0,0.0,1.0,381374.3500000007,0.0,0.0,1.
108.0,0.0,1.0,361381.3500000007,0.0,0.0,1.
109.0,0.0,1.0,372871.3500000007,0.0,0.0,1.
110.0,0.0,1.0,377553.3500000007,0.0,0.0,1.
111.0,0.0,1.0,391787.3500000007,0.0,0.0,1.
112.0,0.0,0.0,364424.3500000007,0.0,0.0,1.
113.0,0.0,1.0,309800.3500000007,0.0,0.0,1.
114.0,0.0,1.0,249453.64999999932,0.0,0.0,1.
115.0,0.0,0.0,266491.3500000007,0.0,0.0,1.
116.0,0.0,0.0,418042.3500000007,0.0,0.0,1.
117.0,0.0,0.0,437918.3500000007,0.0,0.0,1.
118.0,0.0,0.0,459795.3500000007,0.0,0.0,1.
119.0,0.0,0.0,476550.3500000007,0.0,0.0,1.
120.0,0.0,1.0,485238.3500000007,0.0,0.0,1.
121.0,0.0,1.0,476599.3500000007,0.0,0.0,1.
122.0,0.0,1.0,468434.3500000007,0.0,0.0,1.
123.0,0.0,1.0,497614.3500000007,0.0,0.0,1.
124.0,0.0,1.0,473681.3500000007,0.0,0.0,1.
125.0,0.0,1.0,487701.3500000007,0.0,0.0,1.
126.0,0.0,1.0,482838.3500000007,0.0,0.0,1.
127.0,0.0,1.0,426183.3500000007,0.0,0.0,1.
128.0,0.0,1.0,449096.3500000007,0.0,0.0,1.
129.0,0.0,0.0,367882.3500000007,0.0,0.0,1.
130.0,0.0,0.0,440504.3500000007,0.0,0.0,1.
131.0,0.0,0.0,409122.3500000007,0.0,0.0,1.
132.0,0.0,0.0,410430.3500000007,0.0,0.0,1.
133.0,0.0,0.0,356192.3500000007,0.0,0.0,1.
134.0,0.0,1.0,285298.3500000007,0.0,0.0,1.
135.0,0.0,1.0,364020.3500000007,0.0,0.0,1.
136.0,0.0,1.0,342338.3500000007,0.0,0.0,1.
137.0,0.0,0.0,313208.3500000007,0.0,0.0,1.
138.0,0.0,0.0,280483.3500000007,0.0,0.0,1.
139.0,0.0,0.0,284654.3500000007,0.0,0.0,1.
140.0,0.0,0.0,339163.3500000007,0.0,0.0,1.
141.0,0.0,0.0,303982.3500000007,0.0,0.0,1.
142.0,0.0,0.0,327901.3500000007,0.0,0.0,1.
143.0,0.0,0.0,301675.3500000007,0.0,0.0,1.
144.0,0.0,0.0,250786.64999999932,0.0,0.0,1.
145.0,0.0,0.0,257364.35000000068,0.0,0.0,1.
146.0,0.0,0.0,288467.3500000007,0.0,0.0,1.
