Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
102.0,0.0,1.0,696271.7578947351,0.0,0.0,1.
103.0,0.0,1.0,545822.7578947351,0.0,0.0,1.
104.0,0.0,1.0,520577.7578947351,0.0,0.0,1.
105.0,0.0,1.0,507514.7578947351,0.0,0.0,1.
106.0,0.0,1.0,569915.7578947351,0.0,0.0,1.
107.0,0.0,1.0,589220.7578947351,0.0,0.0,1.
108.0,0.0,1.0,715106.7578947351,0.0,0.0,1.
109.0,0.0,1.0,732116.7578947351,0.0,0.0,1.
110.0,0.0,1.0,642971.7578947351,0.0,0.0,1.
111.0,0.0,1.0,610674.7578947351,0.0,0.0,1.
112.0,0.0,1.0,485700.7578947351,0.0,0.0,1.
113.0,0.0,1.0,492651.7578947351,0.0,0.0,1.
114.0,0.0,1.0,713721.7578947351,0.0,0.0,1.
115.0,0.0,1.0,677579.7578947351,0.0,0.0,1.
116.0,0.0,1.0,608811.7578947351,0.0,0.0,1.
117.0,0.0,1.0,614909.7578947351,0.0,0.0,1.
118.0,0.0,1.0,579427.7578947351,0.0,0.0,1.
119.0,0.0,1.0,564512.7578947351,0.0,0.0,1.
120.0,0.0,1.0,564078.7578947351,0.0,0.0,1.
121.0,0.0,1.0,704596.7578947351,0.0,0.0,1.
122.0,0.0,1.0,695407.7578947351,0.0,0.0,1.
123.0,0.0,1.0,668205.7578947351,0.0,0.0,1.
124.0,0.0,1.0,634148.7578947351,0.0,0.0,1.
125.0,0.0,1.0,542693.7578947351,0.0,0.0,1.
126.0,0.0,1.0,562504.7578947351,0.0,0.0,1.
127.0,0.0,1.0,608107.7578947351,0.0,0.0,1.
128.0,0.0,1.0,706193.7578947351,0.0,0.0,1.
129.0,0.0,1.0,535711.7578947351,0.0,0.0,1.
130.0,0.0,1.0,550184.7578947351,0.0,0.0,1.
131.0,0.0,1.0,607585.7578947351,0.0,0.0,1.
132.0,0.0,1.0,557911.7578947351,0.0,0.0,1.
133.0,0.0,1.0,649073.7578947351,0.0,0.0,1.
134.0,0.0,0.0,590218.7578947351,0.0,0.0,1.
135.0,0.0,1.0,592345.7578947351,0.0,0.0,1.
136.0,0.0,1.0,592568.7578947351,0.0,0.0,1.
137.0,0.0,1.0,623890.7578947351,0.0,0.0,1.
138.0,0.0,1.0,896208.7578947351,0.0,0.0,1.
139.0,0.0,0.0,896735.7578947351,0.0,0.0,1.
140.0,0.0,1.0,607641.7578947351,0.0,0.0,1.
141.0,0.0,1.0,621018.7578947351,0.0,0.0,1.
142.0,0.0,1.0,663413.7578947351,0.0,0.0,1.
143.0,0.0,1.0,601188.7578947351,0.0,0.0,1.
144.0,0.0,1.0,620203.7578947351,0.0,0.0,1.
145.0,0.0,1.0,630487.7578947351,0.0,0.0,1.
146.0,0.0,1.0,565672.7578947351,0.0,0.0,1.
147.0,0.0,1.0,627007.7578947351,0.0,0.0,1.
148.0,0.0,1.0,581529.7578947351,0.0,0.0,1.
149.0,0.0,1.0,604798.7578947351,0.0,0.0,1.
150.0,0.0,1.0,619495.7578947351,0.0,0.0,1.
