Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
102.0,0.0,1.0,603544.7578947351,0.0,0.0,1.
103.0,0.0,1.0,599439.7578947351,0.0,0.0,1.
104.0,0.0,1.0,595314.7578947351,0.0,0.0,1.
105.0,0.0,1.0,597018.7578947351,0.0,0.0,1.
106.0,0.0,1.0,595702.7578947351,0.0,0.0,1.
107.0,0.0,1.0,593916.7578947351,0.0,0.0,1.
108.0,0.0,1.0,592054.7578947351,0.0,0.0,1.
109.0,0.0,1.0,587937.7578947351,0.0,0.0,1.
110.0,0.0,1.0,590071.7578947351,0.0,0.0,1.
111.0,0.0,1.0,587763.7578947351,0.0,0.0,1.
112.0,0.0,1.0,588058.7578947351,0.0,0.0,1.
113.0,0.0,1.0,589582.7578947351,0.0,0.0,1.
114.0,0.0,1.0,583608.7578947351,0.0,0.0,1.
115.0,0.0,1.0,583556.7578947351,0.0,0.0,1.
116.0,0.0,1.0,584288.7578947351,0.0,0.0,1.
117.0,0.0,1.0,587202.7578947351,0.0,0.0,1.
118.0,0.0,1.0,592248.7578947351,0.0,0.0,1.
119.0,0.0,1.0,592259.7578947351,0.0,0.0,1.
120.0,0.0,1.0,585950.7578947351,0.0,0.0,1.
121.0,0.0,1.0,589417.7578947351,0.0,0.0,1.
122.0,0.0,1.0,593589.7578947351,0.0,0.0,1.
123.0,0.0,1.0,588960.7578947351,0.0,0.0,1.
124.0,0.0,1.0,586410.7578947351,0.0,0.0,1.
125.0,0.0,1.0,584319.7578947351,0.0,0.0,1.
126.0,0.0,1.0,591106.7578947351,0.0,0.0,1.
127.0,0.0,1.0,592233.7578947351,0.0,0.0,1.
128.0,0.0,1.0,585046.7578947351,0.0,0.0,1.
129.0,0.0,1.0,589242.7578947351,0.0,0.0,1.
130.0,0.0,1.0,588591.7578947351,0.0,0.0,1.
131.0,0.0,1.0,586102.7578947351,0.0,0.0,1.
132.0,0.0,1.0,586901.7578947351,0.0,0.0,1.
133.0,0.0,1.0,580913.7578947351,0.0,0.0,1.
134.0,0.0,1.0,586614.7578947351,0.0,0.0,1.
135.0,0.0,1.0,579372.7578947351,0.0,0.0,1.
136.0,0.0,1.0,577309.7578947351,0.0,0.0,1.
137.0,0.0,1.0,576948.7578947351,0.0,0.0,1.
138.0,0.0,1.0,580274.7578947351,0.0,0.0,1.
139.0,0.0,1.0,577157.7578947351,0.0,0.0,1.
140.0,0.0,1.0,575260.7578947351,0.0,0.0,1.
141.0,0.0,1.0,573949.7578947351,0.0,0.0,1.
142.0,0.0,1.0,585138.7578947351,0.0,0.0,1.
143.0,0.0,1.0,602556.7578947351,0.0,0.0,1.
144.0,0.0,1.0,573396.7578947351,0.0,0.0,1.
145.0,0.0,1.0,569772.7578947351,0.0,0.0,1.
146.0,0.0,1.0,576601.7578947351,0.0,0.0,1.
147.0,0.0,1.0,891073.7578947351,0.0,0.0,1.
148.0,0.0,1.0,679844.7578947351,0.0,0.0,1.
149.0,0.0,1.0,564841.7578947351,0.0,0.0,1.
150.0,0.0,1.0,597229.7578947351,0.0,0.0,1.
151.0,0.0,1.0,622395.7578947351,0.0,0.0,1.
152.0,0.0,1.0,592708.7578947351,0.0,0.0,1.
153.0,0.0,1.0,569017.7578947351,0.0,0.0,1.
154.0,0.0,1.0,626384.7578947351,0.0,0.0,1.
155.0,0.0,1.0,598490.7578947351,0.0,0.0,1.
156.0,0.0,1.0,580969.7578947351,0.0,0.0,1.
157.0,0.0,1.0,533117.7578947351,0.0,0.0,1.
158.0,0.0,1.0,574997.7578947351,0.0,0.0,1.
159.0,0.0,1.0,569568.7578947351,0.0,0.0,1.
160.0,0.0,1.0,561586.7578947351,0.0,0.0,1.
161.0,0.0,1.0,560326.7578947351,0.0,0.0,1.
162.0,0.0,1.0,570037.7578947351,0.0,0.0,1.
163.0,0.0,1.0,561144.7578947351,0.0,0.0,1.
164.0,0.0,1.0,564034.7578947351,0.0,0.0,1.
165.0,0.0,1.0,563754.7578947351,0.0,0.0,1.
166.0,0.0,1.0,562371.7578947351,0.0,0.0,1.
167.0,0.0,1.0,560094.7578947351,0.0,0.0,1.
168.0,0.0,1.0,550297.7578947351,0.0,0.0,1.
169.0,0.0,1.0,545202.7578947351,0.0,0.0,1.
170.0,0.0,1.0,562126.7578947351,0.0,0.0,1.
171.0,0.0,1.0,549006.7578947351,0.0,0.0,1.
172.0,0.0,1.0,546459.7578947351,0.0,0.0,1.
173.0,0.0,1.0,552467.7578947351,0.0,0.0,1.
174.0,0.0,1.0,543123.7578947351,0.0,0.0,1.
175.0,0.0,1.0,545994.7578947351,0.0,0.0,1.
176.0,0.0,1.0,549810.7578947351,0.0,0.0,1.
177.0,0.0,1.0,540595.7578947351,0.0,0.0,1.
178.0,0.0,1.0,546605.7578947351,0.0,0.0,1.
179.0,0.0,1.0,542561.7578947351,0.0,0.0,1.
180.0,0.0,1.0,543766.7578947351,0.0,0.0,1.
181.0,0.0,1.0,551706.7578947351,0.0,0.0,1.
182.0,0.0,1.0,540196.7578947351,0.0,0.0,1.
183.0,0.0,1.0,545489.7578947351,0.0,0.0,1.
184.0,0.0,1.0,534306.7578947351,0.0,0.0,1.
185.0,0.0,1.0,536389.7578947351,0.0,0.0,1.
186.0,0.0,1.0,536661.7578947351,0.0,0.0,1.
187.0,0.0,1.0,527141.7578947351,0.0,0.0,1.
188.0,0.0,1.0,530559.7578947351,0.0,0.0,1.
189.0,0.0,1.0,528135.7578947351,0.0,0.0,1.
190.0,0.0,1.0,531761.7578947351,0.0,0.0,1.
191.0,0.0,1.0,532452.7578947351,0.0,0.0,1.
192.0,0.0,1.0,526481.7578947351,0.0,0.0,1.
193.0,0.0,1.0,527864.7578947351,0.0,0.0,1.
194.0,0.0,1.0,528364.7578947351,0.0,0.0,1.
195.0,0.0,1.0,531949.7578947351,0.0,0.0,1.
196.0,0.0,1.0,523815.7578947351,0.0,0.0,1.
197.0,0.0,1.0,525613.7578947351,0.0,0.0,1.
198.0,0.0,1.0,526108.7578947351,0.0,0.0,1.
199.0,0.0,1.0,523712.7578947351,0.0,0.0,1.
200.0,0.0,1.0,527217.7578947351,0.0,0.0,1.
201.0,0.0,1.0,523860.7578947351,0.0,0.0,1.
202.0,0.0,1.0,520584.7578947351,0.0,0.0,1.
203.0,0.0,1.0,524704.7578947351,0.0,0.0,1.
204.0,0.0,1.0,516487.7578947351,0.0,0.0,1.
205.0,0.0,1.0,520427.7578947351,0.0,0.0,1.
206.0,0.0,1.0,520220.7578947351,0.0,0.0,1.
207.0,0.0,1.0,534443.7578947351,0.0,0.0,1.
208.0,0.0,1.0,552671.7578947351,0.0,0.0,1.
209.0,0.0,1.0,509924.7578947351,0.0,0.0,1.
210.0,0.0,1.0,510654.7578947351,0.0,0.0,1.
211.0,0.0,1.0,562511.7578947351,0.0,0.0,1.
212.0,0.0,1.0,579832.7578947351,0.0,0.0,1.
213.0,0.0,1.0,658338.7578947351,0.0,0.0,1.
214.0,0.0,1.0,564054.7578947351,0.0,0.0,1.
215.0,0.0,1.0,526950.7578947351,0.0,0.0,1.
216.0,0.0,1.0,754013.7578947351,0.0,0.0,1.
217.0,0.0,1.0,734504.7578947351,0.0,0.0,1.
218.0,0.0,1.0,741332.7578947351,0.0,0.0,1.
219.0,0.0,1.0,723048.7578947351,0.0,0.0,1.
220.0,0.0,1.0,730076.7578947351,0.0,0.0,1.
221.0,0.0,1.0,724607.7578947351,0.0,0.0,1.
222.0,0.0,1.0,717398.7578947351,0.0,0.0,1.
223.0,0.0,1.0,676894.7578947351,0.0,0.0,1.
224.0,0.0,1.0,673095.7578947351,0.0,0.0,1.
225.0,0.0,1.0,672397.7578947351,0.0,0.0,1.
226.0,0.0,1.0,682736.7578947351,0.0,0.0,1.
227.0,0.0,1.0,685333.7578947351,0.0,0.0,1.
228.0,0.0,1.0,685754.7578947351,0.0,0.0,1.
229.0,0.0,1.0,689151.7578947351,0.0,0.0,1.
230.0,0.0,1.0,693232.7578947351,0.0,0.0,1.
231.0,0.0,1.0,693800.7578947351,0.0,0.0,1.
232.0,0.0,1.0,695175.7578947351,0.0,0.0,1.
233.0,0.0,1.0,701307.7578947351,0.0,0.0,1.
234.0,0.0,1.0,702724.7578947351,0.0,0.0,1.
235.0,0.0,1.0,701034.7578947351,0.0,0.0,1.
236.0,0.0,1.0,703841.7578947351,0.0,0.0,1.
237.0,0.0,1.0,703289.7578947351,0.0,0.0,1.
238.0,0.0,1.0,703551.7578947351,0.0,0.0,1.
239.0,0.0,1.0,699778.7578947351,0.0,0.0,1.
240.0,0.0,1.0,699406.7578947351,0.0,0.0,1.
241.0,0.0,1.0,701536.7578947351,0.0,0.0,1.
242.0,0.0,1.0,703903.7578947351,0.0,0.0,1.
243.0,0.0,1.0,702793.7578947351,0.0,0.0,1.
244.0,0.0,1.0,700244.7578947351,0.0,0.0,1.
245.0,0.0,1.0,695258.7578947351,0.0,0.0,1.
246.0,0.0,1.0,698789.7578947351,0.0,0.0,1.
247.0,0.0,1.0,692578.7578947351,0.0,0.0,1.
248.0,0.0,1.0,690425.7578947351,0.0,0.0,1.
249.0,0.0,1.0,684696.7578947351,0.0,0.0,1.
250.0,0.0,1.0,682962.7578947351,0.0,0.0,1.
251.0,0.0,1.0,683046.7578947351,0.0,0.0,1.
252.0,0.0,1.0,683770.7578947351,0.0,0.0,1.
253.0,0.0,1.0,679949.7578947351,0.0,0.0,1.
254.0,0.0,1.0,681289.7578947351,0.0,0.0,1.
